Default channel group,Date+hour,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Paid Search,2024-01-01 00:00:00,3,2,1,401.5,1.79,9,0.79,6
Organic Search,2024-01-01 01:00:00,4,2,3,202.43,4.97,4.7,0.69,3
Social,2024-01-01 02:00:00,1,1,4,487.68,1.77,2.48,0.42,2
Referral,2024-01-01 03:00:00,3,3,3,494.24,2.95,1.29,0.39,7
Referral,2024-01-01 04:00:00,3,4,3,133.09,1.76,9.27,0.66,4
Direct,2024-01-01 05:00:00,4,4,2,169.26,2.58,1.29,0.38,2
Paid Search,2024-01-01 06:00:00,1,3,4,11.37,3.26,7.95,0.6,1
Paid Search,2024-01-01 07:00:00,1,1,1,218.1,1.48,6.9,0.48,1
Display,2024-01-01 08:00:00,3,4,5,548.55,2.88,1.86,0.66,17
Organic Search,2024-01-01 09:00:00,2,5,1,471.58,4.23,8.94,0.39,13
Organic Search,2024-01-01 10:00:00,3,4,2,576.67,4.47,6.72,0.88,17
Paid Search,2024-01-01 11:00:00,3,1,1,136.4,1.8,8.6,0.56,11
Referral,2024-01-01 12:00:00,3,2,2,347.66,1.21,8.37,0.13,3
Referral,2024-01-01 13:00:00,3,2,2,225.18,1.96,4.57,0.23,12
Organic Search,2024-01-01 14:00:00,4,2,1,373.37,1.42,5.32,0.28,19
Referral,2024-01-01 15:00:00,1,1,5,449.01,3.78,9.92,0.19,18
Display,2024-01-01 16:00:00,4,2,5,66.02,4.82,1.15,0.26,15
Referral,2024-01-01 17:00:00,4,2,1,61.81,1.94,3.18,0.38,17
Affiliates,2024-01-01 18:00:00,4,1,4,74.19,1.92,5.31,0.95,13
Social,2024-01-01 19:00:00,3,5,3,175.68,3.68,7.51,0.99,13
Organic Search,2024-01-01 20:00:00,2,4,5,449.4,3.58,5.75,0.24,4
Direct,2024-01-01 21:00:00,1,1,2,386.77,2.46,6.98,0.61,15
Display,2024-01-01 22:00:00,2,1,5,187.18,1.91,2.36,0.35,8
Email,2024-01-01 23:00:00,4,3,4,515.07,2.66,4.61,0.24,12
Social,2024-01-02 00:00:00,4,2,1,439.89,3.66,8.76,0.7,2
